name,state,state_code,type,population,website,total_schools,total_students,mailing_address,grade_span,locale,csa_cbsa,domain_name,physical_address,phone,status,student_teacher_ratio,supervisory_union,county,created_at,updated_at,id
Hunt County,Texas,TX,County,104917,https://www.huntcounty.net,,,,,,,,,,,,,,2025-11-08 11:00:48.740849+00,2025-11-08 11:00:48.740852+00,05e5640c-0525-451a-8d65-9c8370a958d6
City of Clarksville,Tennessee,TN,City,171897,https://www.clarksvilletn.gov,,,,,,,,,,,,,Montgomery County,2025-11-08 11:00:16.951521+00,2025-11-08 11:00:16.951524+00,0602f2af-4cb2-4877-8126-1e0e1f7a8424
Hennepin County,Minnesota,MN,County,1268903,https://www.hennepin.us,,,,,,,,,,,,,,2025-11-08 10:54:23.272093+00,2025-11-08 10:54:23.272096+00,0654cacc-bbaf-4871-b496-62be7f2110e6
Lexington County,South Carolina,SC,County,300370,https://www.lex-co.sc.gov/,,,,,,,,,,,,,,2025-11-08 11:00:02.967286+00,2025-11-08 11:00:02.96729+00,06dee884-4c11-45c3-950a-a233709359bb
City of Washington,District of Columbia,DC,City,672079,https://dc.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.723883+00,2025-11-08 10:49:43.723886+00,0714bfc7-a751-49d2-a55a-d97b8093b392
Benton County,Washington,WA,County,210224,https://www.bentoncountywa.gov/,,,,,,,,,,,,,,2025-11-08 11:02:07.07445+00,2025-11-08 11:02:07.074453+00,0767d76d-a2bd-401b-8579-e487e44f0762
Suffolk County,Massachusetts,MA,County,782172,https://suffolkcountywebsite.com,,,,,,,,,,,,,,2025-11-08 10:53:46.246402+00,2025-11-08 10:53:46.246405+00,08d191ec-27de-468e-ae67-b4ac83a4fc9d
City of Roseville,California,CA,City,152438,https://www.roseville.ca.us,,,,,,,,,,,,,Placer County,2025-11-08 10:49:05.030814+00,2025-11-08 10:49:05.030816+00,08debabb-2ce6-42cb-b735-f716a61defc0
City of Pittsburgh,Pennsylvania,PA,City,303620,https://www.pittsburghpa.gov,,,,,,,,,,,,,Allegheny County,2025-11-08 10:59:17.22694+00,2025-11-08 10:59:17.226943+00,093bd61f-c6f7-4961-8933-35dacc13920a
Henderson County,North Carolina,NC,County,117387,https://www.hendersoncountync.gov,,,,,,,,,,,,,,2025-11-08 10:57:38.304675+00,2025-11-08 10:57:38.304677+00,09d197fc-cce0-41ec-9e0a-b4e40bc28372
Rapides Parish,Louisiana,LA,County,128470,http://www.rppj.com,,,,,,,,,,,,,,2025-11-08 10:53:25.189384+00,2025-11-08 10:53:25.189387+00,09f69143-141b-4297-9882-91ee6b72c226
City of Oklahoma City,Oklahoma,OK,City,688693,https://www.okc.gov,,,,,,,,,,,,,Oklahoma County,2025-11-08 10:58:36.691422+00,2025-11-08 10:58:36.691425+00,0abd4906-d405-4bea-8e9c-68d0a77966ba
Norfolk County,Massachusetts,MA,County,724540,https://www.norfolkcounty.org,,,,,,,,,,,,,,2025-11-08 10:53:46.2462+00,2025-11-08 10:53:46.246203+00,0ac51c77-5f38-4ac7-ae98-cbdbb0b677c1
Caddo Parish,Louisiana,LA,County,232973,https://caddo.gov,,,,,,,,,,,,,,2025-11-08 10:53:25.190001+00,2025-11-08 10:53:25.190004+00,0b2c275b-21be-4b58-97b7-a7943fb86579
City of Hollywood,Florida,FL,City,152935,https://www.hollywoodfl.org,,,,,,,,,,,,,Broward County,2025-11-08 10:49:43.732635+00,2025-11-08 10:49:43.732637+00,0b8e61e7-58d6-456b-9eec-6aae6a6e35e8
Coconino County,Arizona,AZ,County,144643,https://www.coconino.az.gov/,,,,,,,,,,,,,,2025-11-08 10:48:29.677043+00,2025-11-08 10:48:29.677045+00,0ba414d1-0dfb-4f67-bba7-53dac57ec1d3
St. Lucie County,Florida,FL,County,346237,https://www.stlucieco.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.726696+00,2025-11-08 10:49:43.726699+00,0ba4facb-6f26-4b46-88b8-5bb8c38db9d5
City of New Orleans,Louisiana,LA,City,376035,https://nola.gov,,,,,,,,,,,,,Orleans Parish County,2025-11-08 10:53:25.192439+00,2025-11-08 10:53:25.192442+00,0c139c3a-a160-4d53-ad2e-d05145f21435
District of Columbia,District of Columbia,DC,County,672079,https://dc.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.723863+00,2025-11-08 10:49:43.723865+00,0c1ff74d-b583-4846-8e53-b65726db9acb
Jefferson County,Texas,TX,County,253939,https://jeffersoncountytx.gov,,,,,,,,,,,,,,2025-11-08 11:00:48.739127+00,2025-11-08 11:00:48.739129+00,0c329784-ebf2-4ddf-8fe9-71cb5fd186da
Tuscaloosa County,Alabama,AL,County,234036,https://www.tuscco.com,,,,,,,,,,,,,,2025-11-08 10:48:12.727715+00,2025-11-08 10:48:12.727717+00,0cc068c9-9748-4a4d-878a-9baa3754eb55
City of Cincinnati,Ohio,OH,City,309595,https://www.cincinnati-oh.gov,,,,,,,,,,,,,Hamilton County,2025-11-08 10:58:14.235401+00,2025-11-08 10:58:14.235404+00,0d26a3f8-d2ff-4ed6-843a-3cb72bbdb48b
Broome County,New York,NY,County,197738,https://broomecountyny.gov,,,,,,,,,,,,,,2025-11-08 10:57:06.785118+00,2025-11-08 10:57:06.785121+00,0d7451bf-c3a2-4d54-8987-34a1be5d621a
Barnstable County,Massachusetts,MA,County,230073,https://www.capecod.gov/,,,,,,,,,,,,,,2025-11-08 10:53:46.246301+00,2025-11-08 10:53:46.246304+00,0e2f0e41-89ce-49bf-a196-d6966c863d27
Spartanburg County,South Carolina,SC,County,338096,https://www.spartanburgcounty.org,,,,,,,,,,,,,,2025-11-08 11:00:02.967638+00,2025-11-08 11:00:02.967641+00,0e4b3063-f1c0-42a7-af0c-b6a84c4af855
City of Tyler,Texas,TX,City,107718,https://www.tylertexas.com/,,,,,,,,,,,,,Smith County,2025-11-08 11:01:29.717582+00,2025-11-08 11:01:29.717584+00,0ea650cb-40ef-492c-9708-9e38b7564614
Aiken County,South Carolina,SC,County,171949,https://www.aikencountysc.gov,,,,,,,,,,,,,,2025-11-08 11:00:02.967265+00,2025-11-08 11:00:02.967267+00,0f4e8d02-5976-4d0d-ab7f-e98728f49b37
Fayette County,Kentucky,KY,County,321122,https://fayettecountyclerk.com,,,,,,,,,,,,,,2025-11-08 10:53:25.18406+00,2025-11-08 10:53:25.184063+00,0f73ad99-d1c1-4cdd-ac14-6d648d964fbf
St. Louis city,Missouri,MO,County,293109,https://stlouiscountymo.gov/,,,,,,,,,,,,,,2025-11-08 10:55:17.068449+00,2025-11-08 10:55:17.068452+00,0fb7ebdd-3a23-4bdb-bd12-86252a9c85ef
City of Laredo,Texas,TX,City,255949,https://www.cityoflaredo.com,,,,,,,,,,,,,Webb County,2025-11-08 11:00:48.746742+00,2025-11-08 11:00:48.746745+00,0fbfaeba-5775-4af3-a49f-1cf11fee369c
Greenville County,South Carolina,SC,County,537575,https://www.greenvillecounty.org/Default.aspx,,,,,,,,,,,,,,2025-11-08 11:00:02.96718+00,2025-11-08 11:00:02.967182+00,10236093-8743-4cac-bfd8-67299b3b720d
St. Tammany Parish,Louisiana,LA,County,269331,https://stpgov.org,,,,,,,,,,,,,,2025-11-08 10:53:25.1907+00,2025-11-08 10:53:25.190703+00,10298b0d-ee81-4a4c-aa08-e24a04fef2cc
City of Tulsa,Oklahoma,OK,City,412322,https://www.cityoftulsa.org,,,,,,,,,,,,,Tulsa County,2025-11-08 10:58:36.690419+00,2025-11-08 10:58:36.690422+00,108ec1b6-7adb-4e92-9bfd-4c07d01c94f5
City of Carmel,Indiana,IN,City,100501,https://www.carmel.in.gov,,,,,,,,,,,,,Hamilton County,2025-11-08 10:51:55.204032+00,2025-11-08 10:51:55.204035+00,109c3d77-ef3d-4ecb-b145-e18845a8378a
City of Pueblo,Colorado,CO,City,111514,https://www.pueblo.us/,,,,,,,,,,,,,Pueblo County,2025-11-08 10:49:05.041531+00,2025-11-08 10:49:05.041534+00,10b4f8be-68b1-4433-aec1-be77d432e19e
Berkeley County,South Carolina,SC,County,238723,https://berkeleycountysc.gov,,,,,,,,,,,,,,2025-11-08 11:00:02.967094+00,2025-11-08 11:00:02.967097+00,10b6909d-4e15-4c29-87ca-7d3e42cacf20
Charlotte County,Florida,FL,County,195083,https://www.charlottecountyfl.gov/,,,,,,,,,,,,,,2025-11-08 10:49:43.726112+00,2025-11-08 10:49:43.726115+00,10ddb54b-00a9-449d-81b6-d88262cc172f
Naugatuck Valley Planning Region,Connecticut,CT,County,452303,https://nvcogct.gov/,,,,,,,,,,,,,,2025-11-08 10:49:43.719659+00,2025-11-08 10:49:43.719662+00,11115914-a846-4d31-8656-d0f22e9def29
City of Fort Lauderdale,Florida,FL,City,183032,https://www.fortlauderdale.gov,,,,,,,,,,,,,Broward County,2025-11-08 10:49:43.730595+00,2025-11-08 10:49:43.730597+00,112a9de3-31da-446f-bf89-6e7752e0fd7f
Henry County,Georgia,GA,County,245417,https://www.henrycountyga.gov,,,,,,,,,,,,,,2025-11-08 10:50:28.452324+00,2025-11-08 10:50:28.452327+00,116367c5-20a2-4b87-a782-8a20c3ef0a3f
Montgomery County,Tennessee,TN,County,227957,https://montgomerytn.gov,,,,,,,,,,,,,,2025-11-08 11:00:16.951068+00,2025-11-08 11:00:16.951071+00,11700506-9a5b-4421-8e37-310b9b7a5b58
Newport News city,Virginia,VA,County,184774,https://www.nnva.gov/,,,,,,,,,,,,,,2025-11-08 11:02:07.064635+00,2025-11-08 11:02:07.064638+00,117e5557-b4c4-4aee-b29a-9696dbcd6378
Oakland County,Michigan,MI,County,1272294,https://www.oakgov.com,,,,,,,,,,,,,,2025-11-08 10:54:03.486872+00,2025-11-08 10:54:03.486875+00,121a51dd-d1e4-4222-a9e5-e2b47ed4f971
City of Bakersfield,California,CA,City,408366,https://www.bakersfieldcity.us,,,,,,,,,,,,,Kern County,2025-11-08 10:48:36.927744+00,2025-11-08 10:48:36.927747+00,127f9a7d-6d83-46cd-af09-040b5801ea30
Clay County,Missouri,MO,County,255566,https://www.claycountymo.gov,,,,,,,,,,,,,,2025-11-08 10:55:17.06759+00,2025-11-08 10:55:17.067593+00,12a56cdf-4b53-4b5c-9ce3-c9c649f5e7f4
Pima County,Arizona,AZ,County,1049947,https://www.pima.gov,,,,,,,,,,,,,,2025-11-08 10:48:29.677304+00,2025-11-08 10:48:29.677307+00,1325ee33-2ba9-42d2-809f-c7ec6aace373
City of Indianapolis city,Indiana,IN,City,882043,https://www.indy.gov,,,,,,,,,,,,,,2025-11-08 10:51:55.206056+00,2025-11-08 10:51:55.206058+00,132eada6-8a1e-4093-bd0b-9a9aa884a4bd
Carroll County,Georgia,GA,County,122187,https://carrollcountyga.gov/,,,,,,,,,,,,,,2025-11-08 10:50:28.45308+00,2025-11-08 10:50:28.453083+00,133c6855-1428-4705-b12e-0880b76443b2
Lowndes County,Georgia,GA,County,119055,https://lowndescounty.com,,,,,,,,,,,,,,2025-11-08 10:49:43.736762+00,2025-11-08 10:49:43.736765+00,136a6f77-5631-4dac-bd2c-3be48d81d57c
City of Joliet,Illinois,IL,City,149785,https://www.joliet.gov,,,,,,,,,,,,,Will County,2025-11-08 10:51:14.628807+00,2025-11-08 10:51:14.62881+00,137eb227-e4ae-4a7e-aa16-eb3dd2a8ac59
Niagara County,New York,NY,County,211341,https://www.niagaracounty.com/,,,,,,,,,,,,,,2025-11-08 10:57:06.784652+00,2025-11-08 10:57:06.784655+00,13db5fdc-db09-43f9-9e66-ae2d8e90152b
Berkshire County,Massachusetts,MA,County,128047,https://berkshirecountywebsite.com,,,,,,,,,,,,,,2025-11-08 10:53:46.24626+00,2025-11-08 10:53:46.246263+00,14283d2f-a392-4ebb-a35c-e651c3253ed2
City of Baton Rouge,Louisiana,LA,City,223699,https://www.brla.gov,,,,,,,,,,,,,East Baton Rouge Parish County,2025-11-08 10:53:25.192084+00,2025-11-08 10:53:25.192087+00,145d3251-ce05-4eb3-85a8-52928cf6fd8e
City of Anchorage,Alaska,AK,City,289069,https://www.muni.org,,,,,,,,,,,,,,2025-11-08 10:48:12.736281+00,2025-11-08 10:48:12.736284+00,15221508-25e4-4002-817d-fe9adf6ba9b1
Missoula County,Montana,MT,County,119639,https://www.missoulacounty.us,,,,,,,,,,,,,,2025-11-08 10:55:17.08359+00,2025-11-08 10:55:17.083593+00,15547c03-828e-4568-b269-085e75a2e090
Monroe County,New York,NY,County,754068,https://www.monroecounty.gov,,,,,,,,,,,,,,2025-11-08 10:57:06.785011+00,2025-11-08 10:57:06.785014+00,156f6f79-b829-4772-8287-20b2f988740a
York County,Pennsylvania,PA,County,459312,https://yorkcountypa.gov,,,,,,,,,,,,,,2025-11-08 10:59:17.219312+00,2025-11-08 10:59:17.219315+00,1620fa7b-fef4-44be-b169-3d7aff39e14a
City of Pompano Beach,Florida,FL,City,112212,https://www.pompanobeachfl.gov,,,,,,,,,,,,,Broward County,2025-11-08 10:49:43.727081+00,2025-11-08 10:49:43.727084+00,1667c143-de62-4c96-8e70-95a830be3264
City of Chattanooga,Tennessee,TN,City,182832,https://chattanooga.gov,,,,,,,,,,,,,Hamilton County,2025-11-08 11:00:16.955726+00,2025-11-08 11:00:16.955729+00,17304f70-99bd-4414-9723-60a355ea07ce
York County,South Carolina,SC,County,288559,https://www.yorkcountygov.com,,,,,,,,,,,,,,2025-11-08 11:00:02.967115+00,2025-11-08 11:00:02.967118+00,174fda9d-a247-4824-bfa6-0b6bc37082a9
Bradley County,Tennessee,TN,County,109743,https://bradleycountytn.gov/,,,,,,,,,,,,,,2025-11-08 11:00:16.951377+00,2025-11-08 11:00:16.95138+00,185f069d-1b75-47e5-a810-a2612c00a9fd
City of Bridgeport,Connecticut,CT,City,148012,https://www.bridgeportct.gov/,,,,,,,,,,,,,Greater Bridgeport Planning Region County,2025-11-08 10:49:43.720554+00,2025-11-08 10:49:43.720557+00,18e288dc-f0e1-48cb-b3ea-1c890abc18e1
Laramie County,Wyoming,WY,County,100661,https://www.laramiecountywy.gov,,,,,,,,,,,,,,2025-11-08 11:02:55.78093+00,2025-11-08 11:02:55.780932+00,18f1ae5c-306a-4799-9589-15a836f9b0ec
Richmond County,Georgia,GA,County,206040,https://www.augustaga.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.737576+00,2025-11-08 10:49:43.737579+00,18f8b26e-def6-45cc-9b76-f3c8dc718dda
East Baton Rouge Parish,Louisiana,LA,County,452821,https://www.louisiana.gov/local-louisiana/east-baton-rouge-parish,,,,,,,,,,,,,,2025-11-08 10:53:25.190403+00,2025-11-08 10:53:25.190406+00,1960fe17-3eb0-43e0-a3db-addb0374c971
City of San Francisco,California,CA,City,836321,https://sf.gov,,,,,,,,,,,,,,2025-11-08 10:49:05.026696+00,2025-11-08 10:49:05.026699+00,19692f1f-f549-40f6-8bfe-cc15ead81795
Charles County,Maryland,MD,County,168710,https://www.charlescountymd.gov,,,,,,,,,,,,,,2025-11-08 10:53:46.234992+00,2025-11-08 10:53:46.234995+00,19b00d36-9026-4304-8a29-2b37e1f61f07
City of Davenport,Iowa,IA,City,101083,https://www.davenportiowa.com,,,,,,,,,,,,,Scott County,2025-11-08 10:52:36.67939+00,2025-11-08 10:52:36.679393+00,19b34c2c-7088-435f-8388-e2d0ed23c0d0
San Francisco County,California,CA,County,836321,https://www.sf.gov,,,,,,,,,,,,,,2025-11-08 10:48:36.925981+00,2025-11-08 10:48:36.925984+00,19d4e4ff-a956-46c3-a944-92ed9b703450
City of Grand Prairie,Texas,TX,City,198564,https://www.gptx.org,,,,,,,,,,,,,Dallas County,2025-11-08 11:01:29.719197+00,2025-11-08 11:01:29.719199+00,19db930e-bb0f-4093-88fb-eccd38291eed
City of Topeka,Kansas,KS,City,126103,https://www.topeka.org,,,,,,,,,,,,,Shawnee County,2025-11-08 10:53:25.176914+00,2025-11-08 10:53:25.176916+00,19f88b4b-c3a8-425f-8f92-5acc8d586615
Wicomico County,Maryland,MD,County,104117,https://www.wicomicocounty.org,,,,,,,,,,,,,,2025-11-08 10:53:46.234788+00,2025-11-08 10:53:46.234791+00,1a3804d6-d8cf-477b-9d17-c76074d3d236
City of Hartford,Connecticut,CT,City,119970,https://www.hartfordct.gov,,,,,,,,,,,,,Capitol Planning Region County,2025-11-08 10:49:43.720077+00,2025-11-08 10:49:43.720079+00,1a5a7e6e-856f-481c-82b9-5c1c0aa3253f
City of Quincy,Massachusetts,MA,City,101361,https://www.quincyma.gov,,,,,,,,,,,,,Norfolk County,2025-11-08 10:53:46.247715+00,2025-11-08 10:53:46.247718+00,1aa2d93f-aff3-4d30-a48b-5e24ff733e2d
Manatee County,Florida,FL,County,416020,https://www.mymanatee.org,,,,,,,,,,,,,,2025-11-08 10:49:43.725871+00,2025-11-08 10:49:43.725874+00,1abbe42f-a8f6-4b63-903b-3d0266583fdb
Carver County,Minnesota,MN,County,108622,https://www.carvercountymn.gov,,,,,,,,,,,,,,2025-11-08 10:54:23.271966+00,2025-11-08 10:54:23.271969+00,1b29bea2-d85c-4767-bd66-277b23fb362d
Napa County,California,CA,County,136070,https://www.countyofnapa.org/,,,,,,,,,,,,,,2025-11-08 10:48:36.92631+00,2025-11-08 10:48:36.926313+00,1b45c98e-73d4-408a-9bf3-025331854221
City of Des Moines,Iowa,IA,City,212464,https://www.dsm.city,,,,,,,,,,,,,Polk County,2025-11-08 10:52:36.677742+00,2025-11-08 10:52:36.677745+00,1b685947-9625-4d03-a2ff-e8627d2afd2f
Mahoning County,Ohio,OH,County,227063,https://www.mahoningcountyoh.gov,,,,,,,,,,,,,,2025-11-08 10:58:14.228241+00,2025-11-08 10:58:14.228244+00,1b7ffcf9-dd2a-45c6-8b45-1894402e4a1f
City of St. Petersburg,Florida,FL,City,260646,https://www.stpete.org/,,,,,,,,,,,,,Pinellas County,2025-11-08 10:49:43.732296+00,2025-11-08 10:49:43.732298+00,1c757f70-283a-44ed-b740-400661bcf25a
Nueces County,Texas,TX,County,352829,https://www.nuecesco.com,,,,,,,,,,,,,,2025-11-08 11:00:48.740359+00,2025-11-08 11:00:48.740362+00,1cb61a82-5a1f-4d6e-987c-b325fe2dbbf4
Potter County,Texas,TX,County,116634,https://www.co.potter.tx.us,,,,,,,,,,,,,,2025-11-08 11:00:48.740318+00,2025-11-08 11:00:48.740321+00,1d5a633a-ee18-4303-9b17-1131ea94bbc3
City of Santa Clara,California,CA,City,129239,https://www.santaclaraca.gov,,,,,,,,,,,,,Santa Clara County,2025-11-08 10:49:05.031957+00,2025-11-08 10:49:05.031959+00,1d6dcd03-0e76-4146-b7b2-7530de6af4cd
DeKalb County,Illinois,IL,County,100512,https://dekalbcounty.org,,,,,,,,,,,,,,2025-11-08 10:51:14.62781+00,2025-11-08 10:51:14.627813+00,1d8d69af-77de-4c64-8319-e9fea6ec7844
Pueblo County,Colorado,CO,County,168726,https://county.pueblo.org,,,,,,,,,,,,,,2025-11-08 10:49:05.038879+00,2025-11-08 10:49:05.038882+00,1d94ec92-7fd2-4aba-8a05-76c20d58c060
Macomb County,Michigan,MI,County,877624,https://www.macombgov.org,,,,,,,,,,,,,,2025-11-08 10:54:03.487888+00,2025-11-08 10:54:03.487891+00,1e14911b-3850-4c67-a60d-90e4f0e5e304
Dauphin County,Pennsylvania,PA,County,287484,https://www.dauphincounty.gov/,,,,,,,,,,,,,,2025-11-08 10:59:17.219936+00,2025-11-08 10:59:17.219938+00,1e155480-1f65-4236-b6aa-5b749acd5a39
Delaware County,Ohio,OH,County,221160,https://co.delaware.oh.us,,,,,,,,,,,,,,2025-11-08 10:58:14.227336+00,2025-11-08 10:58:14.227338+00,1eb06559-124b-4ac9-b105-7189d52e6f14
City of Cedar Rapids,Iowa,IA,City,136859,https://cedar-rapids.org/,,,,,,,,,,,,,Linn County,2025-11-08 10:52:36.678281+00,2025-11-08 10:52:36.678283+00,1ed61888-9ea8-4dda-8b0a-b9d93673c836
City of Wilmington,North Carolina,NC,City,118578,https://www.wilmingtonnc.gov,,,,,,,,,,,,,New Hanover County,2025-11-08 10:57:38.307278+00,2025-11-08 10:57:38.30728+00,1f40412e-2cfe-4d9e-b5d8-ffb6c3fb5009
City of Paterson,New Jersey,NJ,City,157660,https://www.patersonnj.gov,,,,,,,,,,,,,Passaic County,2025-11-08 10:55:47.460127+00,2025-11-08 10:55:47.46013+00,1ff32627-f052-4a3f-9ebb-757ca7f38e5f
Cuyahoga County,Ohio,OH,County,1249418,https://cuyahogacounty.gov,,,,,,,,,,,,,,2025-11-08 10:58:14.22814+00,2025-11-08 10:58:14.228142+00,2042bbfe-8e85-404a-a674-ec66284dac05
Wood County,Ohio,OH,County,131795,https://www.woodcountyohio.gov/,,,,,,,,,,,,,,2025-11-08 10:58:14.228441+00,2025-11-08 10:58:14.228444+00,2117522a-8008-4407-9d0e-02ef711288ff
City of Columbus,Ohio,OH,City,906480,https://www.columbus.gov,,,,,,,,,,,,,Franklin County,2025-11-08 10:58:14.234728+00,2025-11-08 10:58:14.234731+00,219b4ae1-a913-4caa-a4dc-194bddd67a14
City of Aurora,Illinois,IL,City,179867,https://www.aurora-il.org,,,,,,,,,,,,,Kane County,2025-11-08 10:51:14.637092+00,2025-11-08 10:51:14.637094+00,21f2b8a7-fddf-4856-903f-b2e40384b798
Bexar County,Texas,TX,County,2037344,https://www.bexar.org/,,,,,,,,,,,,,,2025-11-08 11:00:48.740789+00,2025-11-08 11:00:48.740792+00,22198e3c-2b6e-44e1-a9b9-8c2b7ca0ffc0
Pulaski County,Arkansas,AR,County,398949,https://www.pulaskicounty.net,,,,,,,,,,,,,,2025-11-08 10:48:29.689418+00,2025-11-08 10:48:29.689421+00,223a22fb-2adf-473e-ada7-2cc52ee9ee0b
City of Denver,Colorado,CO,City,713734,https://www.denvergov.org,,,,,,,,,,,,,,2025-11-08 10:49:05.042911+00,2025-11-08 10:49:05.042914+00,225858de-ac50-4604-a635-4bbb3c9e4b9b
Sebastian County,Arkansas,AR,County,128448,https://www.sebastiancountyar.gov,,,,,,,,,,,,,,2025-11-08 10:48:29.687343+00,2025-11-08 10:48:29.687346+00,230f1919-7883-46aa-8cc1-5282a6ff329a
Flagler County,Florida,FL,County,121710,https://www.flaglercounty.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.726594+00,2025-11-08 10:49:43.726597+00,23668aa3-6fe0-43ba-b657-2195944151d9
City of Bellevue,Washington,WA,City,151199,https://bellevuewa.gov,,,,,,,,,,,,,King County,2025-11-08 11:02:07.077398+00,2025-11-08 11:02:07.077401+00,236bfaca-0e71-4caa-87d6-0cb03484f5ad
City of Odessa,Texas,TX,City,114080,https://www.odessa-tx.gov,,,,,,,,,,,,,Ector County,2025-11-08 11:01:29.719256+00,2025-11-08 11:01:29.719259+00,24375e1e-dd24-4ce8-acc4-1218ecad0aa2
City of Arlington,Texas,TX,City,394769,https://www.arlingtontx.gov,,,,,,,,,,,,,Tarrant County,2025-11-08 11:00:48.747267+00,2025-11-08 11:00:48.74727+00,24d6e19c-5bf0-4cda-8b23-cd8d4b2d789c
City of Savannah,Georgia,GA,City,147546,https://www.savannahga.gov,,,,,,,,,,,,,Chatham County,2025-11-08 10:50:28.457187+00,2025-11-08 10:50:28.45719+00,25072dd2-ea6e-4c6d-8ea2-beff4a212878
Union County,North Carolina,NC,County,244975,https://www.unioncountync.gov/,,,,,,,,,,,,,,2025-11-08 10:57:38.304439+00,2025-11-08 10:57:38.304441+00,25c9413e-b171-469d-8248-5d765d61c103
Eau Claire County,Wisconsin,WI,County,106328,https://www.eauclairecounty.gov,,,,,,,,,,,,,,2025-11-08 11:02:49.699481+00,2025-11-08 11:02:49.699484+00,264d7299-31c5-4ef9-a95b-891720e2e60e
Blount County,Tennessee,TN,County,137747,https://blounttn.gov,,,,,,,,,,,,,,2025-11-08 11:00:02.981887+00,2025-11-08 11:00:02.98189+00,26da34ce-dbd2-47f9-b2c3-e9034b0a64a2
Sullivan County,Tennessee,TN,County,159693,https://sullivancountytn.gov,,,,,,,,,,,,,,2025-11-08 11:00:02.982187+00,2025-11-08 11:00:02.98219+00,26e26eb9-b179-4957-bc6a-58511dc8bfcc
